Team,Player
Delhi Daredevils,G Gambhir
Delhi Daredevils,GJ Maxwell
Delhi Daredevils,SS Iyer
Delhi Daredevils,DT Christian
Delhi Daredevils,CH Morris
Delhi Daredevils,RR Pant
Delhi Daredevils,NV Ojha
Delhi Daredevils,TA Boult
Delhi Daredevils,S Nadeem
Delhi Daredevils,HV Patel
Delhi Daredevils,A Mishra
Mumbai Indians,RG Sharma
Mumbai Indians,SS Tiwary
Mumbai Indians,JP Duminy
Mumbai Indians,KH Pandya
Mumbai Indians,SA Yadav
Mumbai Indians,KA Pollard
Mumbai Indians,AP Tare
Mumbai Indians,PJ Cummins
Mumbai Indians,PJ Sangwan
Mumbai Indians,Mustafizur Rahman
Mumbai Indians,JJ Bumrah
Kings XI Punjab,AJ Finch
Kings XI Punjab,MK Tiwary
Kings XI Punjab,CH Gayle
Kings XI Punjab,Yuvraj Singh
Kings XI Punjab,KK Nair
Kings XI Punjab,MA Agarwal
Kings XI Punjab,AR Patel
Kings XI Punjab,MP Stoinis
Kings XI Punjab,AJ Tye
Kings XI Punjab,R Ashwin
Kings XI Punjab,MM Sharma
Royal Challengers Bangalore,BB McCullum
Royal Challengers Bangalore,PA Patel
Royal Challengers Bangalore,V Kohli
Royal Challengers Bangalore,AB de Villiers
Royal Challengers Bangalore,M Vohra
Royal Challengers Bangalore,CR Woakes
Royal Challengers Bangalore,Mandeep Singh
Royal Challengers Bangalore,P Negi
Royal Challengers Bangalore,NM Coulter-Nile
Royal Challengers Bangalore,YS Chahal
Royal Challengers Bangalore,UT Yadav
Sunrisers Hyderabad,DA Warner
Sunrisers Hyderabad,S Dhawan
Sunrisers Hyderabad,MK Pandey
Sunrisers Hyderabad,Shakib Al Hasan
Sunrisers Hyderabad,YK Pathan
Sunrisers Hyderabad,WP Saha
Sunrisers Hyderabad,CJ Jordan
Sunrisers Hyderabad,Rashid Khan
Sunrisers Hyderabad,S Kaul
Sunrisers Hyderabad,Sandeep Sharma
Sunrisers Hyderabad,B Kumar
Chennai Super Kings,M Vijay
Chennai Super Kings,SK Raina
Chennai Super Kings,F du Plessis
Chennai Super Kings,MS Dhoni
Chennai Super Kings,RA Jadeja
Chennai Super Kings,SR Watson
Chennai Super Kings,AT Rayudu
Chennai Super Kings,KV Sharma
Chennai Super Kings,DJ Bravo
Chennai Super Kings,Harbhajan Singh
Chennai Super Kings,Imran Tahir
Kolkata Knight Riders,RV Uthappa
Kolkata Knight Riders,KD Karthik
Kolkata Knight Riders,IR Jaggi
Kolkata Knight Riders,N Rana
Kolkata Knight Riders,AD Russell
Kolkata Knight Riders,PP Chawla
Kolkata Knight Riders,MG Johnson
Kolkata Knight Riders,SP Narine
Kolkata Knight Riders,MA Starc
Kolkata Knight Riders,Kuldeep Yadav
Kolkata Knight Riders,R Vinay Kumar
Rajasthan Royals,AM Rahane
Rajasthan Royals,JC Buttler
Rajasthan Royals,SPD Smith
Rajasthan Royals,SV Samson
Rajasthan Royals,STR Binny
Rajasthan Royals,RA Tripathi
Rajasthan Royals,DS Kulkarni
Rajasthan Royals,JD Unadkat
Rajasthan Royals,BA Stokes
Rajasthan Royals,B Laughlin
Rajasthan Royals,Anureet Singh
